Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales Price,Quantity,Discount,Profit,Order Date Year,Days to Ship,Customer Name Masked,Original Price,Total Sales,Total Profit,Discount Price,Total Discount,Shipping Urgency,Sales Quintile,Profit Quintile
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,3,C.G.,261.96,523.92,83.8272,0.0,0.0,Urgent,1,1
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,4,D.V.H.,14.62,29.24,13.7428,0.0,0.0,Standard,1,1
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,7,S.O.,27.959999999999997,44.736,5.0328,5.591999999999999,11.183999999999997,Standard,4,4
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,5,B.H.,48.86,342.02,99.1858,0.0,0.0,Standard,5,5
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,2014,5,B.H.,7.28,29.12,7.8624,0.0,0.0,Standard,5,5
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2014,5,B.H.,1133.94,5442.912,544.2912,226.788,1360.728,Standard,5,5
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,5,B.H.,23.13,55.512,17.3475,4.625999999999998,13.877999999999993,Standard,5,5
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,5,B.H.,114.9,574.5,172.35,0.0,0.0,Standard,5,5
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2014,5,B.H.,2132.73,15355.655999999999,767.7828000000001,426.54600000000005,3838.9140000000007,Standard,5,5
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.424,4,0.2,68.3568,2014,5,B.H.,1139.28,3645.696,273.4272,227.856,911.424,Standard,5,5
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,5,A.A.,19.439999999999998,46.656,16.3296,3.887999999999998,11.663999999999994,Standard,3,4
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2015,4,H.P.,12.720000000000002,7.632,-11.448,10.176000000000002,30.528000000000006,Standard,3,5
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2014,7,P.K.,665.88,3995.2799999999997,79.9056,0.0,0.0,Standard,5,5
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2014,2,A.G.,55.5,111.0,19.98,0.0,0.0,Urgent,3,4
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,2014,5,Z.D.,8.56,17.12,4.9648,0.0,0.0,Standard,4,3
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2014,5,Z.D.,266.84999999999997,640.4399999999999,48.033,53.369999999999976,160.10999999999993,Standard,4,3
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,2014,5,Z.D.,28.4,90.88,29.536,5.68,22.72,Standard,4,3
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,2016,4,K.B.,19.46,136.22,35.417199999999994,0.0,0.0,Standard,5,5
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,2016,4,K.B.,60.34,422.38,109.8188,0.0,0.0,Standard,5,5
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2017,2,S.F.,101.96000000000001,142.744,-2.0392,30.588000000000008,61.176000000000016,Urgent,3,5
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2016,4,E.H.,14.559999999999999,23.296,8.4448,2.911999999999999,5.823999999999998,Standard,3,1
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,90.57,3,0.0,11.7741,2016,4,E.H.,90.57,271.71,35.3223,0.0,0.0,Standard,3,1
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,2015,4,T.B.,32.059999999999995,19.236,-14.1064,22.441999999999993,44.883999999999986,Standard,4,4
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,2015,4,T.B.,155.25,372.6,46.575,31.049999999999997,93.14999999999999,Standard,4,4
